glId,glName,glType,openBal,lastBal1,lastBal2,lastBal3,lastBal4,lastBal5,lastBal6,lastBal7,lastBal8,lastBal9,lastBal10,lastBal11,lastBal12,thisBal1,thisBal2,thisBal3,thisBal4,thisBal5,thisBal6,thisBal7,thisBal8,thisBal9,thisBal10,thisBal11,thisBal12,deleted,creationDate,
0101,INTEREST CONTROL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2002/9/1,
0102,SHARE CONTROL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2002/9/1,
0103,LEAGUE CONTROL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2002/9/1,
0104,INCOME CONTROL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2002/9/1,
0105,BANK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2002/9/1,
0200,LOAN DISCREPANCY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2002/9/1,
0201,LOAN 2 MONTHS OR UNDER,2,0,38173690,38419402.2,38044666.32,38953742.27,39332223.53,38157221.41,37455281.81,36310410.25,36086560.25,35000951.9,35047272.64,33576966.46,32217417.78,31065036.93,31246788.12,30915138.24,30378675.88,30574316,31582322.73,31729033.64,31493023.64,31925821.28,31745447.13,31231031.85,False,2002/9/1,
0202,LOAN 3 TO 6 MONTHS,2,0,261135.32,202499.15,179999.15,178259.15,328552.2,405644.32,640202.27,804605.73,416013.53,494784.76,667838.71,667838.71,667838.71,667838.71,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,False,2002/9/1,
0203,LOAN 7 TO 12 MONTHS,2,0,237490.58,285126.75,270393.37,312093.37,346535.32,261135.32,261135.32,261459.15,503551.35,514943.47,493602.27,493602.27,493602.27,493602.27,818726.88,818726.88,818726.88,818726.88,818726.88,818726.88,818726.88,818726.88,818726.88,818726.88,False,2002/9/1,
0204,LOAN OVER 12 MONTHS,2,0,691969.67,494019.67,531253.05,555253.05,630110.25,715510.25,715510.25,762189.52,784689.52,850389.52,959688.67,959688.67,959688.67,959688.67,811178.1,811178.1,811178.1,811178.1,811178.1,811178.1,811178.1,811178.1,811178.1,811178.1,False,2002/9/1,
