glTxNo,glId,txItem,txDate,txType,txAmt,deleted,
1,0401,AUTO-TRANSACTION-PROCESS,2003/7/31,C,2539810,False,
2,0205,AUTO-TRANSACTION-PROCESS,2003/7/31,D,2539810,False,
3,0501,AUTO-TRANSACTION-PROCESS,2003/7/31,C,286211.5,False,
4,0401,AUTO-TRANSACTION-PROCESS,2003/7/31,C,3628.5,False,
5,0205,AUTO-TRANSACTION-PROCESS,2003/7/31,D,2278990,False,
6,0501,AUTO-TRANSACTION-PROCESS,2003/7/31,C,36282.7,False,
7,0401,AUTO-TRANSACTION-PROCESS,2003/7/31,C,14471.3,False,
8,0205,AUTO-TRANSACTION-PROCESS,2003/7/31,D,398071.36,False,
9,0408,AUTO-TRANSACTION-PROCESS,2003/7/31,D,0,False,
10,0501,AUTO-TRANSACTION-PROCESS,2003/7/2,C,1134.3,False,
11,0401,AUTO-TRANSACTION-PROCESS,2003/7/2,D,171746.12,False,
12,0205,AUTO-TRANSACTION-PROCESS,2003/7/2,C,583861.82,False,
13,0408,AUTO-TRANSACTION-PROCESS,2003/7/2,D,0,False,
14,0501,AUTO-TRANSACTION-PROCESS,2003/7/8,C,725,False,
15,0401,AUTO-TRANSACTION-PROCESS,2003/7/8,D,97000,False,
16,0205,AUTO-TRANSACTION-PROCESS,2003/7/8,C,118775,False,
17,0408,AUTO-TRANSACTION-PROCESS,2003/7/8,D,0,False,
18,0501,AUTO-TRANSACTION-PROCESS,2003/7/22,C,15335.57,False,
19,0401,AUTO-TRANSACTION-PROCESS,2003/7/22,D,244314.37,False,
20,0205,AUTO-TRANSACTION-PROCESS,2003/7/22,C,1215828.8,False,
21,0408,AUTO-TRANSACTION-PROCESS,2003/7/22,D,0,False,
22,0501,AUTO-TRANSACTION-PROCESS,2003/7/22,C,1437.82,False,
23,0401,AUTO-TRANSACTION-PROCESS,2003/7/22,D,151895.47,False,
24,0205,AUTO-TRANSACTION-PROCESS,2003/7/22,C,263457.65,False,
25,0408,AUTO-TRANSACTION-PROCESS,2003/7/22,D,0,False,
