memno,date,code,amount,
3,1997/3/1,A3,110,
3,1997/11/2,A3,120,
3,1997/6/3,A3,130,
3,1997/10/4,A3,140,
3,1997/1/5,A3,150,
3,1997/5/6,A3,60,
3,1997/6/30,C3,1766.8,
3,1997/6/30,H3,25,
3,1997/9/7,A3,50,
3,1997/11/8,A3,80,
3,1997/4/9,A3,90.2,
3,1998/3/3,A3,100,
3,1998/4/30,A3,20,
3,1998/2/6,A3,30,
3,1998/6/25,A3,40,
3,1998/7/20,C0,1923.4,
3,1998/7/20,H0,25,
3,1998/7/30,A3,50,
3,1998/8/31,A3,60,
3,1998/5/10,A3,70.6,
3,1998/3/11,A3,80,
3,1998/8/12,A3,90,
3,1999/7/19,C0,2052.9,
3,1999/7/19,H0,25,
3,2000/6/4,A3,14690.83,
3,2000/4/19,B1,-51207.73,
8,1997/1/31,A1,900,
8,1997/2/28,A1,900,
8,1997/3/27,A1,900,
8,1997/4/30,A1,900,
8,1997/5/31,A1,900,
8,1997/6/27,A1,900,
8,1997/6/30,C3,5277.6,
8,1997/6/30,H3,25,
8,1997/7/31,A1,900,
8,1997/8/30,A1,900,
8,1997/9/30,A1,900,
8,1997/10/31,A1,900,
8,1997/11/29,A1,900,
8,1997/12/24,A1,900,
8,1998/1/24,A1,900,
8,1998/2/28,A1,900,
8,1998/3/31,A1,900,
8,1998/4/30,A1,900,
8,1998/5/29,A1,900,
8,1998/6/30,A1,900,
8,1998/7/20,C0,6240.6,
8,1998/7/20,H0,25,
8,1998/7/31,A1,900,
8,1998/8/29,A1,900,
8,1998/9/30,A1,900,
8,1998/10/31,A1,900,
8,1998/11/28,A1,900,
8,1998/12/24,A1,900,
8,1999/1/30,A1,900,
8,1999/2/27,A1,900,
8,1999/3/31,A1,900,
8,1999/4/30,A1,900,
8,1999/5/29,A1,900,
8,1999/6/30,A1,900,
8,1999/7/19,C0,7230.7,
8,1999/7/19,H0,25,
8,1999/7/31,A1,900,
8,1999/8/31,A1,900,
8,1999/9/30,A1,900,
8,1999/10/30,A1,900,
8,1999/11/30,A1,900,
8,1999/12/24,A1,900,
8,2000/1/29,A1,900,
8,2000/2/29,A1,900,
8,2000/3/31,A1,900,
8,2000/4/29,A1,900,
8,2000/5/31,A1,900,
8,2000/6/30,A1,900,
8,2000/7/29,A1,900,
8,2000/7/31,C0,8306.1,
8,2000/7/31,H0,25,
8,2000/8/31,A1,900,
8,2000/9/30,A1,900,
8,2000/10/31,A1,900,
8,2000/11/30,A1,900,
8,2000/12/23,A1,900,
8,2001/1/20,A1,900,
8,2001/2/28,A1,900,
8,2001/3/31,A1,900,
8,2001/4/28,A1,900,
8,2001/5/31,A1,900,
8,2001/6/30,A1,900,
8,2001/7/31,A1,900,
8,2001/5/8,C0,9445.6,
8,2001/6/8,C1,-9445.6,
8,2001/7/8,H0,25,
8,2001/8/8,H0,-25,
8,2001/8/31,A1,900,
8,2001/9/30,A1,900,
8,2001/10/31,A1,900,
8,2001/11/30,A1,900,
8,2001/12/22,A1,900,
8,2002/1/31,A1,900,
8,2002/2/28,A1,900,
8,2002/3/28,A1,900,
8,2002/4/30,A1,900,
8,2002/5/31,A1,900,
8,2002/6/29,A1,900,
8,2002/7/31,A1,900,
8,2002/8/31,A1,900,
8,2002/4/9,C3,8445.8,
8,2002/6/9,C1,-8445.8,
8,2002/6/9,H0,25,
8,2002/7/9,H0,-25,
8,2002/9/28,A1,900,
8,2002/10/31,A1,900,
8,2002/11/30,A1,900,
8,2002/12/24,A1,900,
8,2003/1/25,A1,900,
8,2003/2/28,A1,900,
8,2003/3/29,A1,900,
8,2003/4/30,A1,900,
8,2003/5/31,A1,900,
8,2003/6/28,A1,900,
8,2003/7/31,A1,900,
8,2003/8/25,H0,25,
8,2003/8/26,H0,-25,
8,2003/8/27,C3,8985.8,
8,2003/8/28,C1,-8985.8,
8,2003/8/30,A1,900,
8,2003/9/30,A1,900,
8,2003/10/31,A1,900,
8,2003/11/29,A1,900,
8,2003/12/24,A1,900,
8,2004/1/17,A1,900,
8,2004/2/28,A1,900,
8,2004/3/31,A1,900,
8,2004/4/30,A1,900,
8,2004/5/29,A1,900,
8,2004/6/30,A1,900,
8,2004/7/31,A1,900,
8,2004/8/31,A1,900,
8,2004/10/9,H0,25,
8,2004/11/9,H0,-25,
8,2004/12/9,C0,7620.64,
8,2004/9/13,C1,-7570.64,
8,2004/9/14,C0,-50,
8,2004/9/22,B1,-50000,
8,2004/9/29,A1,900,
8,2004/10/30,A1,900,
8,2004/11/30,A1,900,
8,2004/6/12,B1,-40000,
8,2004/12/24,A1,900,
8,2005/1/13,B1,-50000,
8,2005/1/29,A1,900,
8,2005/2/26,A1,900,
8,2005/3/31,A1,900,
8,2005/4/30,A1,900,
8,2005/5/31,A1,900,
8,2005/6/30,A1,900,
8,2005/7/30,A1,900,
8,2005/12/8,H0,25,
8,2005/8/13,H0,-25,
8,2005/8/14,C0,2536.64,
8,2005/8/15,C1,-2536.64,
8,2005/8/31,A1,900,
8,2005/9/30,A1,900,
12,1997/3/5,B1,-299,
14,1997/1/31,A1,300,
14,1997/2/28,A1,300,
14,1997/3/27,A1,300,
14,1997/4/30,A1,300,
14,1997/5/31,A1,300,
14,1997/6/27,A1,300,
14,1997/6/30,C3,185.1,
14,1997/6/30,H3,25,
14,1997/7/31,A1,300,
14,1997/8/30,A1,300,
14,1997/9/30,A1,300,
14,1997/10/31,A1,300,
14,1997/11/29,A1,300,
14,1997/12/24,A1,300,
14,1998/1/24,A1,300,
14,1998/2/28,A1,300,
14,1998/3/31,A1,300,
14,1998/4/30,A1,300,
14,1998/5/29,A1,300,
14,1998/6/30,A1,300,
14,1998/7/20,C0,401.7,
14,1998/7/20,H0,25,
14,1998/7/31,A1,300,
14,1998/8/29,A1,300,
14,1998/9/30,A1,300,
14,1998/10/31,A1,300,
14,1998/11/28,A1,300,
14,1998/12/24,A1,300,
14,1999/1/30,A1,300,
14,1999/2/2,B1,-10000,
14,1999/2/27,A1,300,
14,1999/3/31,A1,300,
14,1999/4/30,A1,300,
14,1999/5/29,A1,300,
14,1999/6/30,A1,300,
14,1999/7/19,C0,94.6,
14,1999/7/19,H0,25,
14,1999/7/31,A1,300,
14,1999/8/31,A1,300,
14,1999/9/30,A1,300,
14,1999/10/30,A1,300,
14,1999/11/30,A1,300,
14,1999/12/24,A1,300,
14,2000/1/29,A1,300,
14,2000/2/29,A1,300,
14,2000/3/31,A1,300,
14,2000/4/29,A1,300,
14,2000/5/31,A1,300,
14,2000/6/30,A1,300,
14,2000/7/29,A1,300,
14,2000/7/31,C0,260.4,
14,2000/7/31,H0,25,
14,2000/8/31,A1,300,
14,2000/9/30,A1,300,
14,2000/10/31,A1,300,
14,2000/11/30,A1,300,
14,2000/12/23,A1,300,
14,2001/1/20,A1,300,
14,2001/2/28,A1,300,
14,2001/3/31,A1,300,
14,2001/4/28,A1,300,
14,2001/5/31,A1,300,
14,2001/6/30,A1,300,
14,2001/7/31,A1,300,
14,2001/5/8,C0,489.7,
14,2001/6/8,C1,-489.7,
14,2001/7/8,H0,25,
14,2001/8/8,H0,-25,
14,2001/8/31,A1,300,
14,2001/9/30,A1,300,
14,2001/10/31,A1,300,
14,2001/11/30,A1,300,
14,2001/12/22,A1,300,
14,2002/1/31,A1,300,
14,2002/2/28,A1,300,
14,2002/3/28,A1,300,
14,2002/4/30,A1,300,
14,2002/5/31,A1,300,
14,2002/6/29,A1,300,
14,2002/7/31,A1,300,
14,2002/8/31,A1,300,
14,2002/4/9,C3,589.1,
14,2002/6/9,C1,-589.1,
14,2002/6/9,H0,25,
14,2002/7/9,H0,-25,
14,2002/9/28,A1,300,
14,2002/10/31,A1,300,
14,2002/11/30,A1,300,
14,2002/12/24,A1,300,
14,2003/1/25,A1,300,
14,2003/2/28,A1,300,
14,2003/3/29,A1,300,
14,2003/4/30,A1,300,
14,2003/5/31,A1,300,
14,2003/6/28,A1,300,
